submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene,year,lake.area.ha,lake.area.m2,elevation,fish,depth.feet,lat,long,water_cat,secchi,surface.temp,air.temp,o2,O2.percent,cond.us.cm,sp.Cond,pH.method,ph.ysi,ph.kit,alkalinity.drops,salinity,tn.mg.l,tp.mg.l,doc.mg,doc.um,chla,Tow depth,tn.umol.L,tp.umol.L
CBW_259_18S,344,2017_14,sierra,Cathedral.2.upper,18S,2017,4.4,4400,2924,Y,11,37.8393589,-119.4155802,wet,11.6,19.2,,,,139.5,,ysi,7.03,,,0.07,,not being processed bc always below <0.11,,,0.28,,,
CBW_260_18S,345,2016_18,sierra,Blue,18S,2016,3.907,3907,3009,Y,35,38.0511336,-119.2703313,mid,28/29,16.6,,,,92.5,,ysi,8.11,NA,,0.05,0.05,<0.10,,,,9,,
CBW_261_18S,346,2021_05,sierra,Virginia,18S,2021,10.4569,10456.9,2993,Y,29,38.0469747,-119.2650757,,24,17,,7.74,80.3,60.9,72,YSI,8.52,,,,0.13417,ND,0.8,,0.8,,,
CBW_262_18S,347,2016_15,sierra,Spillway,18S,2016,5.1199,57209,3202,Y,16.4,37.8415211,-119.2324424,mid,13,17.6,,,,24.1,,ysi,7.54,NA,,0.01,15.3,<0.10,,,,4,,
CBW_263_18S,348,2017_10,sierra,Gaylor.2.upper,18S,2017,3.8634,40383,3204,Y,16.4,37.9226947,-119.2673837,wet,14.4,14.6,,,,,,ysi,6.6,,,,,not being processed bc always below <0.7,,,0.54,,,
CBW_264_18S,349,2016_23,sierra,Steelhead,18S,2016,8.3831,8383.1,3137,Y,34,37.993199,-119.3026364,mid,23,14.6,,,,5.6,,ysi,7.67,NA,,0,0.05,<0.10,,,,8,,
CBW_265_18S,350,2021_03,sierra,Sunrise3,18S,2021,4.5673,4567.3,2882,Y,39,37.8062159,-119.443259,,31,21.3,,9.61,109,4.2,4.5,YSI,7.22,,,,0.18207,0.00372,NA,,0.66,,,
CBW_266_18S,351,2016_08,sierra,Secret,18S,2016,0.5513,5513,3317,N,11.5,37.998069,-119.309665,mid,,7.9,,,,3.1,,ysi,6.89,NA,,0,,,,,,5,,
CBW_267_18S,352,2021_12,sierra,PollyDomeThree,18S,2021,0.6749,6749,2667,N,13.1,37.865471,-119.448998,,6,22.7,,8.93,103.5,4.3,4.5,YSI,8.26,,,,0.25448,0.0096,3.6,,1.22,,,
CBW_268_18S,353,2017_11,sierra,Sunrise2,18S,2017,3.0223,3022.3,2835,N,16.9,37.8088233,-119.4494792,wet,7.1,20.9,,,,30,,ysi,6.57,,,0.01,,not being processed bc always below <0.20,,,0.73,,,
